Protocol,NetworkID,Group,Radio,priority,Override,Hits,Timestamp,Radio alias
P25,BEE00.2D1,-2,2038625,50,Normal,0,0000/00/00  0:00,VRA Rescue NSW - Mudgee 592
P25,BEE00.2D1,-2,2038599,50,Normal,0,0000/00/00  0:00,VRA Rescue NSW - Mudgee 593
P25,BEE00.2D1,-2,2038476,50,Normal,0,0000/00/00  0:00,VRA Rescue NSW - Rylstone-Kandos 610
P25,BEE00.2D1,-2,2034429,50,Normal,0,0000/00/00  0:00,VRA Rescue NSW - Rylstone-Kandos 611
P25,BEE00.2D1,-2,2038212,50,Normal,0,0000/00/00  0:00,VRA Rescue NSW - Rylstone-Kandos 612
P25,BEE00.2D1,-2,2038622,50,Normal,0,0000/00/00  0:00,VRA Rescue NSW - Rylstone-Kandos 613
P25,BEE00.2D1,-2,2038562,50,Normal,0,0000/00/00  0:00,VRA Rescue NSW - Lithgow 620
P25,BEE00.2D1,-2,2038593,50,Normal,0,0000/00/00  0:00,VRA Rescue NSW - Lithgow 621
P25,BEE00.2D1,-2,2038235,50,Normal,0,0000/00/00  0:00,VRA Rescue NSW - Lithgow 622
P25,BEE00.2D1,-2,2038549,50,Normal,0,0000/00/00  0:00,VRA Rescue NSW - Deniliquin 640
P25,BEE00.2D1,-2,2034431,50,Normal,0,0000/00/00  0:00,VRA Rescue NSW - Deniliquin 641
P25,BEE00.2D1,-2,2034410,50,Normal,0,0000/00/00  0:00,VRA Rescue NSW - Deniliquin 642
P25,BEE00.2D1,-2,2034436,50,Normal,0,0000/00/00  0:00,VRA Rescue NSW - Deniliquin 643
P25,BEE00.2D1,-2,2038475,50,Normal,0,0000/00/00  0:00,VRA Rescue NSW - Coleambally 660
P25,BEE00.2D1,-2,2036138,50,Normal,0,0000/00/00  0:00,VRA Rescue NSW - Coleambally 661
P25,BEE00.2D1,-2,2036682,50,Normal,0,0000/00/00  0:00,VRA Rescue NSW - Coleambally 662
P25,BEE00.2D1,-2,2034409,50,Normal,0,0000/00/00  0:00,VRA Rescue NSW - Coleambally 663
P25,BEE00.2D1,-2,2038561,50,Normal,0,0000/00/00  0:00,VRA Rescue NSW - Leeton 670
P25,BEE00.2D1,-2,2034428,50,Normal,0,0000/00/00  0:00,VRA Rescue NSW - Leeton 671
P25,BEE00.2D1,-2,2034425,50,Normal,0,0000/00/00  0:00,VRA Rescue NSW - Leeton 672
P25,BEE00.2D1,-2,2038246,50,Normal,0,0000/00/00  0:00,VRA Rescue NSW - Leeton 673
P25,BEE00.2D1,-2,2038570,50,Normal,0,0000/00/00  0:00,VRA Rescue NSW - Narrandera 680
P25,BEE00.2D1,-2,2038240,50,Normal,0,0000/00/00  0:00,VRA Rescue NSW - Narrandera 681
P25,BEE00.2D1,-2,2038251,50,Normal,0,0000/00/00  0:00,VRA Rescue NSW - Narrandera 682
P25,BEE00.2D1,-2,2038575,50,Normal,0,0000/00/00  0:00,VRA Rescue NSW - Wagga Wagga 690
P25,BEE00.2D1,-2,2034418,50,Normal,0,0000/00/00  0:00,VRA Rescue NSW - Wagga Wagga 691
P25,BEE00.2D1,-2,2038483,50,Normal,0,0000/00/00  0:00,VRA Rescue NSW - Wagga Wagga 692
P25,BEE00.2D1,-2,2038624,50,Normal,0,0000/00/00  0:00,VRA Rescue NSW - Wagga Wagga 693
P25,BEE00.2D1,-2,2037373,50,Normal,0,0000/00/00  0:00,VRA Rescue NSW - Wagga Wagga 694
P25,BEE00.2D1,-2,2038560,50,Normal,0,0000/00/00  0:00,VRA Rescue NSW - Junee 720
P25,BEE00.2D1,-2,2038609,50,Normal,0,0000/00/00  0:00,VRA Rescue NSW - Junee 721
